antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'school'}),frozenset({'girl'}),0.0258,0.0336,0.0026,0.10077519379844961,2.999261720191953,1.0,0.0017331199999999999,1.074703448275862,0.6842379546136476,0.045774647887323945,0.06951075517223676,0.089078073089701
frozenset({'meet'}),frozenset({'girl'}),0.014,0.0336,0.0016,0.11428571428571428,3.4013605442176873,1.0,0.0011296000000000001,1.0910967741935484,0.7160243407707911,0.034782608695652174,0.0834910122989593,0.08095238095238096
frozenset({'try'}),frozenset({'girl'}),0.0126,0.0336,0.002,0.15873015873015872,4.72411186696901,1.0,0.00157664,1.1487396226415094,0.7983795827425562,0.04524886877828055,0.12948071060653843,0.10912698412698413
frozenset({'married'}),frozenset({'girl'}),0.0108,0.0336,0.0012,0.11111111111111109,3.3068783068783065,1.0,0.0008371199999999999,1.0872,0.7052163364334816,0.02777777777777778,0.08020603384841793,0.0734126984126984
frozenset({'demon'}),frozenset({'girl'}),0.0098,0.0336,0.001,0.10204081632653061,3.036929057337221,1.0,0.0006707200000000001,1.076218181818182,0.6773581094728339,0.023584905660377364,0.0708203811325855,0.06590136054421769
frozenset({'boyfriend'}),frozenset({'girl'}),0.0098,0.0336,0.0012,0.12244897959183673,3.6443148688046647,1.0,0.00087072,1.101246511627907,0.7327812563118562,0.028436018957345974,0.09193809974320855,0.07908163265306123
frozenset({'teacher'}),frozenset({'girl'}),0.0094,0.0336,0.0012,0.1276595744680851,3.7993920972644375,1.0,0.0008841599999999999,1.1078243902439024,0.7437916414294368,0.028708133971291867,0.09732985768634633,0.08168693009118541
frozenset({'body'}),frozenset({'girl'}),0.0092,0.0336,0.001,0.10869565217391305,3.234989648033127,1.0,0.00069088,1.0842536585365854,0.6972951150585386,0.02392344497607656,0.07770659372300606,0.06922877846790891
frozenset({'college'}),frozenset({'girl'}),0.0092,0.0336,0.0014,0.15217391304347827,4.528985507246377,1.0,0.00109088,1.1398564102564104,0.7864352038756561,0.033816425120772944,0.1226965159804204,0.09692028985507248
frozenset({'revenge'}),frozenset({'girl'}),0.009,0.0336,0.0012,0.13333333333333333,3.9682539682539684,1.0,0.0008975999999999999,1.115076923076923,0.7547931382441978,0.02898550724637681,0.1032008830022075,0.08452380952380953
