support,itemsets
0.0336,frozenset({'girl'})
0.0334,frozenset({'father'})
0.0302,frozenset({'brother'})
0.0298,frozenset({'mother'})
0.027,frozenset({'police'})
0.0268,frozenset({'wife'})
0.0258,frozenset({'people'})
0.0258,frozenset({'school'})
0.0244,frozenset({'town'})
0.0242,frozenset({'daughter'})
0.024,frozenset({'child'})
0.0228,frozenset({'city'})
0.022,frozenset({'house'})
0.021,frozenset({'sister'})
0.021,frozenset({'home'})
0.0198,frozenset({'death'})
0.0196,frozenset({'village'})
0.0182,frozenset({'student'})
0.018,frozenset({'husband'})
0.018,frozenset({'war'})
0.0178,frozenset({'fight'})
0.0176,frozenset({'dream'})
0.0174,frozenset({'movie'})
0.0172,frozenset({'team'})
0.0168,frozenset({'night'})
0.016,frozenset({'drug'})
0.0158,frozenset({'american'})
0.0158,frozenset({'documentary'})
0.0158,frozenset({'killer'})
0.0156,frozenset({'boy'})
0.0156,frozenset({'art'})
0.0154,frozenset({'game'})
0.0152,frozenset({'gang'})
0.0148,frozenset({'local'})
0.0146,frozenset({'secret'})
0.014,frozenset({'own'})
0.014,frozenset({'dr'})
0.014,frozenset({'meet'})
0.0136,frozenset({'relationship'})
0.0136,frozenset({'company'})
0.0136,frozenset({'john'})
0.0134,frozenset({'character'})
0.0134,frozenset({'artist'})
0.0134,frozenset({'kill'})
0.0132,frozenset({'job'})
0.013,frozenset({'murder'})
0.013,frozenset({'past'})
0.0128,frozenset({'help'})
0.0128,frozenset({'community'})
0.0128,frozenset({'party'})
0.0128,frozenset({'money'})
0.0126,frozenset({'try'})
0.0124,frozenset({'country'})
0.0124,frozenset({'parent'})
0.0124,frozenset({'begin'})
0.0124,frozenset({'journey'})
0.0124,frozenset({'live'})
0.0124,frozenset({'series'})
0.0124,frozenset({'history'})
0.012,frozenset({'street'})
0.012,frozenset({'start'})
0.012,frozenset({'power'})
0.0118,frozenset({'business'})
0.0118,frozenset({'marriage'})
0.0116,frozenset({'government'})
0.0116,frozenset({'car'})
0.0116,frozenset({'doe'})
0.0114,frozenset({'crime'})
0.0114,frozenset({'named'})
0.0112,frozenset({'dead'})
0.0112,frozenset({'evil'})
0.0112,frozenset({'agent'})
0.0112,frozenset({'decides'})
0.011,frozenset({'island'})
0.0108,frozenset({'tell'})
0.0108,frozenset({'married'})
0.0108,frozenset({'ghost'})
0.0108,frozenset({'killed'})
0.0106,frozenset({'prison'})
0.0106,frozenset({'blood'})
0.0106,frozenset({'set'})
0.0106,frozenset({'return'})
0.0104,frozenset({'society'})
0.0104,frozenset({'kid'})
0.0104,frozenset({'hand'})
0.0104,frozenset({'music'})
0.0104,frozenset({'guy'})
0.0102,frozenset({'detective'})
0.0102,frozenset({'change'})
0.0102,frozenset({'fall'})
0.0102,frozenset({'jack'})
0.0102,frozenset({'human'})
0.0102,frozenset({'master'})
0.01,frozenset({'horror'})
0.01,frozenset({'real'})
0.01,frozenset({'player'})
0.01,frozenset({'doctor'})
0.01,frozenset({'video'})
0.01,frozenset({'soldier'})
0.01,frozenset({'living'})
0.0098,frozenset({'officer'})
0.0098,frozenset({'mountain'})
0.0098,frozenset({'demon'})
0.0098,frozenset({'boyfriend'})
0.0098,frozenset({'plan'})
0.0098,frozenset({'york'})
0.0098,frozenset({'couple'})
0.0096,frozenset({'black'})
0.0096,frozenset({'inspector'})
0.0096,frozenset({'search'})
0.0094,frozenset({'teacher'})
0.0094,frozenset({'hospital'})
0.0094,frozenset({'michael'})
0.0094,frozenset({'episode'})
0.0094,frozenset({'former'})
0.0092,frozenset({'body'})
0.0092,frozenset({'college'})
0.0092,frozenset({'accident'})
0.0092,frozenset({'trip'})
0.0092,frozenset({'mission'})
0.0092,frozenset({'director'})
0.0092,frozenset({'space'})
0.009,frozenset({'club'})
0.009,frozenset({'band'})
0.009,frozenset({'leader'})
0.009,frozenset({'revenge'})
0.009,frozenset({'book'})
0.009,frozenset({'affair'})
0.009,frozenset({'army'})
0.009,frozenset({'david'})
0.009,frozenset({'little'})
0.009,frozenset({'criminal'})
0.0088,frozenset({'cop'})
0.0088,frozenset({'terrorist'})
0.0088,frozenset({'actor'})
0.0088,frozenset({'writer'})
0.0088,frozenset({'found'})
0.0088,frozenset({'zombie'})
0.0088,frozenset({'land'})
0.0088,frozenset({'president'})
0.0086,frozenset({'reality'})
0.0086,frozenset({'marry'})
0.0086,frozenset({'lead'})
0.0086,frozenset({'white'})
0.0086,frozenset({'crew'})
0.0086,frozenset({'hotel'})
0.0086,frozenset({'gangster'})
0.0086,frozenset({'japanese'})
0.0086,frozenset({'qv'})
0.0086,frozenset({'driver'})
0.0086,frozenset({'race'})
0.0086,frozenset({'event'})
0.0084,frozenset({'comedy'})
0.0084,frozenset({'cousin'})
0.0084,frozenset({'tv'})
0.0084,frozenset({'south'})
0.0084,frozenset({'sam'})
0.0084,frozenset({'uncle'})
0.0084,frozenset({'priest'})
0.0084,frozenset({'happy'})
0.0084,frozenset({'apartment'})
0.0084,frozenset({'save'})
0.0084,frozenset({'passion'})
0.0084,frozenset({'robert'})
0.0084,frozenset({'role'})
0.0084,frozenset({'birthday'})
0.0084,frozenset({'alex'})
0.0084,frozenset({'singh'})
0.0082,frozenset({'peter'})
0.0082,frozenset({'food'})
0.0082,frozenset({'wish'})
0.0082,frozenset({'paul'})
0.0082,frozenset({'ex'})
0.0082,frozenset({'london'})
0.0082,frozenset({'martial'})
0.0082,frozenset({'five'})
0.0082,frozenset({'bar'})
0.0082,frozenset({'neighborhood'})
0.0082,frozenset({'trouble'})
0.0082,frozenset({'famous'})
0.0082,frozenset({'soon'})
0.0082,frozenset({'experience'})
0.0082,frozenset({'building'})
0.0082,frozenset({'spirit'})
0.0082,frozenset({'hollywood'})
0.0082,frozenset({'hero'})
0.0082,frozenset({'memory'})
0.0082,frozenset({'culture'})
0.0082,frozenset({'vampire'})
0.0082,frozenset({'haunted'})
0.008,frozenset({'sex'})
0.008,frozenset({'german'})
0.008,frozenset({'friendship'})
0.008,frozenset({'suddenly'})
0.008,frozenset({'ready'})
0.008,frozenset({'control'})
0.008,frozenset({'re'})
0.008,frozenset({'seven'})
0.008,frozenset({'train'})
0.008,frozenset({'india'})
0.0024,"frozenset({'mother', 'girl'})"
0.0026,"frozenset({'school', 'girl'})"
0.002,"frozenset({'try', 'girl'})"
0.003,"frozenset({'brother', 'father'})"
0.0044,"frozenset({'father', 'mother'})"
0.003,"frozenset({'daughter', 'father'})"
0.0022,"frozenset({'father', 'child'})"
0.0024,"frozenset({'father', 'home'})"
0.0028,"frozenset({'brother', 'police'})"
0.002,"frozenset({'brother', 'sister'})"
0.002,"frozenset({'brother', 'fight'})"
0.002,"frozenset({'brother', 'gang'})"
0.0028,"frozenset({'daughter', 'mother'})"
0.0026,"frozenset({'child', 'mother'})"
0.0022,"frozenset({'police', 'death'})"
0.0022,"frozenset({'police', 'kill'})"
0.003,"frozenset({'killed', 'police'})"
0.0044,"frozenset({'officer', 'police'})"
0.0046,"frozenset({'inspector', 'police'})"
0.002,"frozenset({'criminal', 'police'})"
0.0024,"frozenset({'singh', 'police'})"
0.0028,"frozenset({'daughter', 'wife'})"
0.0022,"frozenset({'child', 'wife'})"
0.0024,"frozenset({'husband', 'wife'})"
0.0044,"frozenset({'student', 'school'})"
0.0026,"frozenset({'teacher', 'school'})"
0.002,"frozenset({'house', 'daughter'})"
0.0026,"frozenset({'york', 'city'})"
0.0022,"frozenset({'teacher', 'student'})"
0.0024,"frozenset({'college', 'student'})"
0.002,"frozenset({'husband', 'married'})"
0.0026,"frozenset({'art', 'artist'})"
0.004,"frozenset({'art', 'martial'})"
0.0022,"frozenset({'street', 'gang'})"
0.003,"frozenset({'leader', 'gang'})"
0.0026,"frozenset({'blood', 'vampire'})"
