"bernie, aunt, uncle, real, stuart, welfare, cuban, invent, mentor, product, commercial, pose, estate, co, worker, deal, mace, grandma, money, dream"
"rana, brother, crime, bravery, extent, police, shower, tall, tackle, promote, arise, villain, assume, sibling, brave, onto, assist, elder, duty, courage"
"nelson, shipment, violent, detective, asian, francisco, device, san, terrorist, center, capture, partner, steal, gang, art, triad, furious, dragon, tactic, edward"
"lam, gangster, martial, artist, girlfriend, brother, kill, furious, fight, trap, reveal, stab, protection, guilty, lay, double, brutal, pick, beat, process"
"ram, prince, kingdom, village, plan, residence, stir, raid, villager, meet, frame, homeless, musician, determine, justice, enemy, destroy, lover, mission, meanwhile"
"ninja, diamond, smuggler, pose, assault, thug, trio, rap, dealer, wood, wait, beat, justice, hunt, sell, month, steal, agent, meanwhile, watch"
"humanity, globe, film, terrorist, understand, enemy, attack, turkey, bring, psyche, topic, terrorism, upcoming, global, france, intense, recent, burn, london, subject"
"rai, raghuveer, entire, property, industry, mature, amar, widower, den, millionaire, alias, decide, kill, multi, rape, frame, live, prostitute, lock, estate"
"revenge, denise, gabriel, bull, homage, reckless, jean, estranged, sibling, nick, assault, enlist, heavy, bomb, spiral, dancer, bloody, stake, brutally, imagine"
"prince, lord, child, village, devote, news, father, bear, pray, clutch, insult, maid, tell, crook, kill, secretary, abroad, people, befriend, twin"
"syndicate, drug, ruben, conviction, misery, mother, hapless, unhappy, decide, chapter, grandmother, blame, cousin, illegal, gun, childhood, despite, catch, personal, marry"
"camp, million, prison, government, hand, scott, alliance, nuclear, reporter, planet, information, news, major, rule, head, war, happen, journey, lose, child"
"geeta, singh, love, heart, sher, loot, amar, heel, verma, crook, hook, talented, gold, prostitute, third, inspector, decision, rest, choose, final"
"rico, habit, addiction, live, person, street, junkie, jesse, scam, size, virtually, invisible, average, bottom, nine, grace, fell, constant, whatever, dealer"
"pooja, raja, sher, elephant, result, singh, dad, six, rescue, attack, marry, jaw, blessing, confine, injure, conceive, marries, anthony, dismiss, decide"
"tiger, style, martial, master, killer, art, richards, specialist, linda, kung, fu, rare, aim, serial, task, brutal, ancient, simple, detective, chance"
"satellite, irina, agent, jean, howard, leader, defeat, submarine, manage, headquarters, destroy, prevent, steal, escape, data, collision, infiltrate, retrieve, grab, transport"
"town, nick, bidding, concerned, utilize, ohio, measure, beast, mysteriously, agenda, influential, safety, corruption, position, extreme, thriller, james, martial, skill, disappear"
