antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'mother'}),frozenset({'girl'}),0.03,0.034,0.0024,0.08,2.3529411764705883,1.0,0.0013799999999999997,1.0499999999999998,0.5927835051546391,0.03896103896103895,0.047619047619047616,0.07529411764705882
frozenset({'girl'}),frozenset({'mother'}),0.034,0.03,0.0024,0.07058823529411763,2.352941176470588,1.0,0.0013799999999999997,1.0436708860759494,0.5952380952380952,0.03896103896103895,0.04184354154032746,0.07529411764705882
frozenset({'girl'}),frozenset({'school'}),0.034,0.0262,0.0028,0.08235294117647059,3.1432420296362817,1.0,0.0019091999999999998,1.0611923076923078,0.7058562555456965,0.048780487804878044,0.05766373092675148,0.09461158509205209
frozenset({'school'}),frozenset({'girl'}),0.0262,0.034,0.0028,0.10687022900763359,3.1432420296362817,1.0,0.0019091999999999998,1.0815897435897435,0.7002024469676965,0.048780487804878044,0.07543501967663932,0.09461158509205209
frozenset({'girl'}),frozenset({'try'}),0.034,0.0208,0.0024,0.07058823529411763,3.39366515837104,1.0,0.0016927999999999997,1.0535696202531646,0.7301587301587302,0.045801526717557245,0.050845828527489416,0.0929864253393665
frozenset({'try'}),frozenset({'girl'}),0.0208,0.034,0.0024,0.11538461538461538,3.39366515837104,1.0,0.0016927999999999997,1.092,0.7203159041394336,0.045801526717557245,0.08424908424908424,0.0929864253393665
frozenset({'father'}),frozenset({'brother'}),0.0332,0.0308,0.003,0.09036144578313253,2.93381317477703,1.0,0.00197744,1.0654781456953641,0.6817818231968005,0.04918032786885246,0.06145423625993864,0.09388202159286496
frozenset({'brother'}),frozenset({'father'}),0.0308,0.0332,0.003,0.09740259740259741,2.9338131747770304,1.0,0.00197744,1.0711309352517986,0.680093547943321,0.04918032786885246,0.0664073204412468,0.09388202159286496
frozenset({'father'}),frozenset({'mother'}),0.0332,0.03,0.0046,0.13855421686746988,4.61847389558233,1.0,0.003604,1.126013986013986,0.8103829756615281,0.07849829351535835,0.11191156378089678,0.14594377510040163
frozenset({'mother'}),frozenset({'father'}),0.03,0.0332,0.0046,0.15333333333333335,4.61847389558233,1.0,0.003604,1.1418897637795276,0.8077095472882116,0.07849829351535835,0.12425872293476763,0.14594377510040163
frozenset({'father'}),frozenset({'kill'}),0.0332,0.0282,0.0024,0.07228915662650602,2.563445270443476,1.0,0.0014637599999999997,1.0475246753246754,0.6308440215142738,0.04067796610169491,0.04536854972885987,0.07869776980261471
frozenset({'kill'}),frozenset({'father'}),0.0282,0.0332,0.0024,0.0851063829787234,2.563445270443476,1.0,0.0014637599999999997,1.0567348837209303,0.6275982712492282,0.04067796610169491,0.05368885289483182,0.07869776980261471
frozenset({'father'}),frozenset({'daughter'}),0.0332,0.0248,0.003,0.09036144578313253,3.643606684803731,1.0,0.00217664,1.0720741721854303,0.7504620052406565,0.05454545454545455,0.06722871798926633,0.10566459385930821
frozenset({'daughter'}),frozenset({'father'}),0.0248,0.0332,0.003,0.12096774193548387,3.643606684803731,1.0,0.00217664,1.099845871559633,0.7439978124145474,0.05454545454545455,0.09078169418233747,0.10566459385930821
frozenset({'father'}),frozenset({'child'}),0.0332,0.0246,0.0024,0.07228915662650602,2.938583602703497,1.0,0.0015832799999999998,1.0514051948051948,0.6823541580471659,0.04332129963898916,0.048891897300088194,0.08492506611813105
frozenset({'child'}),frozenset({'father'}),0.0246,0.0332,0.0024,0.09756097560975609,2.9385836027034964,1.0,0.0015832799999999998,1.071318918918919,0.6763379126512199,0.04332129963898916,0.06657113737045521,0.08492506611813105
frozenset({'father'}),frozenset({'home'}),0.0332,0.022,0.0024,0.07228915662650602,3.285870755750274,1.0,0.0016695999999999998,1.0542077922077921,0.7195559233209212,0.04545454545454545,0.05142040554857467,0.09069003285870755
frozenset({'home'}),frozenset({'father'}),0.022,0.0332,0.0024,0.10909090909090909,3.2858707557502735,1.0,0.0016695999999999998,1.0851836734693878,0.7113156100886162,0.04545454545454545,0.07849700981682778,0.09069003285870755
frozenset({'brother'}),frozenset({'kill'}),0.0308,0.0282,0.0024,0.0779220779220779,2.7631942525559543,1.0,0.0015314399999999998,1.0539239436619718,0.6583780437474206,0.04240282685512367,0.05116492891755289,0.08151423045040065
frozenset({'kill'}),frozenset({'brother'}),0.0282,0.0308,0.0024,0.0851063829787234,2.7631942525559547,1.0,0.0015314399999999998,1.0593581395348837,0.6566165877752624,0.04240282685512367,0.05603217393595068,0.08151423045040065
frozenset({'brother'}),frozenset({'police'}),0.0308,0.0274,0.0028,0.09090909090909091,3.3178500331785004,1.0,0.00195608,1.06986,0.7208006603384234,0.05054151624548736,0.06529826332417325,0.09654943596549437
frozenset({'police'}),frozenset({'brother'}),0.0274,0.0308,0.0028,0.10218978102189781,3.3178500331785004,1.0,0.00195608,1.0795154471544715,0.7182808965659057,0.05054151624548736,0.07365846164042283,0.09654943596549437
frozenset({'brother'}),frozenset({'fight'}),0.0308,0.0222,0.0022,0.07142857142857142,3.217503217503217,1.0,0.00151624,1.0530153846153847,0.7111019397441188,0.04330708661417323,0.050346258364257955,0.08526383526383527
frozenset({'fight'}),frozenset({'brother'}),0.0222,0.0308,0.0022,0.0990990990990991,3.2175032175032174,1.0,0.00151624,1.075812,0.7048476170996114,0.04330708661417323,0.07046956159626402,0.08526383526383527
frozenset({'sister'}),frozenset({'brother'}),0.0214,0.0308,0.0024,0.11214953271028037,3.6412185944896223,1.0,0.0017408799999999998,1.0916252631578947,0.7412289665508549,0.048192771084337345,0.08393472215257983,0.09503580531617914
frozenset({'brother'}),frozenset({'sister'}),0.0308,0.0214,0.0024,0.0779220779220779,3.641218594489622,1.0,0.0017408799999999998,1.0612985915492958,0.7484179391938369,0.048192771084337345,0.05775810128967699,0.09503580531617914
frozenset({'gang'}),frozenset({'brother'}),0.0156,0.0308,0.002,0.12820512820512822,4.162504162504163,1.0,0.0015195200000000001,1.1117294117647059,0.7718000812677773,0.04504504504504505,0.1005005449908463,0.09657009657009658
